cell_id,peak_id,cell_intensity_mean,foci_intensity_peak,foci_radius,signal_to_cell_ratio,foci_x,foci_y
1,1,0.1227,4.0579,2.83,33.07,859,0
1,2,0.1227,3.0363,4.24,24.75,868,21
1,3,0.1227,2.0584,3.77,16.78,871,46
1,4,0.1227,2.1372,3.3,17.42,885,50
1,5,0.1227,1.9892,4.24,16.21,896,45
2,6,0.1823,2.7755,2.83,15.22,1376,43
2,7,0.1823,3.2328,2.83,17.73,1360,36
2,8,0.1823,3.5587,2.83,19.52,1379,59
2,9,0.1823,2.9452,3.3,16.16,1360,65
2,10,0.1823,2.8727,3.3,15.76,1374,90
2,11,0.1823,2.0359,2.83,11.17,1363,53
3,12,0.1632,3.7122,2.83,22.75,234,98
3,13,0.1632,3.753,2.83,23.0,281,75
3,14,0.1632,3.4178,3.3,20.95,261,91
3,15,0.1632,2.9713,2.83,18.21,248,77
3,16,0.1632,2.6247,2.83,16.09,223,97
3,17,0.1632,1.8646,3.3,11.43,276,101
3,18,0.1632,1.8947,2.83,11.61,278,84
3,19,0.1632,2.2948,2.83,14.07,247,102
3,20,0.1632,2.1707,3.3,13.3,286,95
3,21,0.1632,1.5098,2.83,9.25,229,86
5,22,0.1352,3.4898,3.77,25.81,0,86
5,23,0.1352,3.014,3.3,22.3,33,71
5,24,0.1352,2.3097,2.83,17.08,41,89
5,25,0.1352,1.8204,3.3,13.47,7,64
5,26,0.1352,2.3937,2.83,17.71,13,51
5,27,0.1352,1.8772,2.83,13.89,20,60
5,28,0.1352,2.0518,2.83,15.18,59,75
5,29,0.1352,1.8139,4.24,13.42,50,67
6,30,0.2453,3.6089,3.77,14.71,1052,124
6,31,0.2453,1.9625,2.83,8.0,1051,104
6,32,0.2453,2.3171,3.3,9.44,1029,96
6,33,0.2453,2.2513,2.83,9.18,1034,99
6,34,0.2453,2.1625,3.3,8.81,1067,146
7,35,0.2346,2.9911,3.3,12.75,781,119
7,36,0.2346,3.1889,3.3,13.59,777,135
7,37,0.2346,2.9061,2.83,12.39,761,113
7,38,0.2346,2.4569,2.83,10.47,799,102
8,39,0.1874,2.8766,3.77,15.35,487,149
8,40,0.1874,2.7389,3.3,14.62,442,161
8,41,0.1874,2.4065,3.3,12.84,482,163
8,42,0.1874,2.4521,2.83,13.08,468,168
8,43,0.1874,1.5896,5.66,8.48,468,145
8,44,0.1874,2.3219,3.3,12.39,449,189
8,45,0.1874,1.881,3.77,10.04,450,127
8,46,0.1874,2.1328,2.83,11.38,463,125
8,47,0.1874,1.8976,3.77,10.13,468,163
8,48,0.1874,1.3727,3.3,7.32,442,145
8,49,0.1874,1.8543,2.83,9.89,459,180
9,50,0.1928,3.8554,2.83,20.0,994,191
9,51,0.1928,3.9397,3.3,20.43,999,165
9,52,0.1928,2.7115,3.3,14.06,974,158
9,53,0.1928,1.7332,5.66,8.99,977,190
9,54,0.1928,1.9063,3.3,9.89,998,182
9,55,0.1928,2.1071,2.83,10.93,964,172
9,56,0.1928,1.6042,2.83,8.32,986,162
10,57,0.1785,3.5469,2.83,19.87,569,213
10,58,0.1785,3.0736,2.83,17.22,598,179
10,59,0.1785,2.6351,3.77,14.76,588,206
10,60,0.1785,2.5269,2.83,14.16,568,193
10,61,0.1785,2.8414,3.3,15.92,620,192
10,62,0.1785,1.6161,2.83,9.05,572,202
10,63,0.1785,2.4563,2.83,13.76,624,195
10,64,0.1785,2.0732,2.83,11.62,562,224
10,65,0.1785,1.9525,2.83,10.94,587,224
11,66,0.2577,3.2828,2.83,12.74,1172,186
11,67,0.2577,2.9534,3.3,11.46,1201,196
11,68,0.2577,2.6602,2.83,10.32,1180,205
11,69,0.2577,2.2767,3.3,8.83,1195,179
11,70,0.2577,1.5012,5.19,5.82,1200,180
11,71,0.2577,1.7253,2.83,6.69,1185,171
12,72,0.1544,3.502,3.3,22.69,213,243
12,73,0.1544,2.908,3.3,18.84,187,210
12,74,0.1544,3.1317,2.83,20.29,212,221
12,75,0.1544,2.4107,3.77,15.62,228,254
12,76,0.1544,2.5351,3.77,16.42,207,202
12,77,0.1544,2.0228,4.24,13.1,216,261
12,78,0.1544,2.1949,2.83,14.22,222,234
12,79,0.1544,1.4231,3.3,9.22,201,253
12,80,0.1544,2.3601,2.83,15.29,186,238
12,81,0.1544,2.1827,2.83,14.14,185,187
12,82,0.1544,1.8227,3.3,11.81,223,219
12,83,0.1544,1.9306,2.83,12.51,213,230
13,84,0.2531,3.7017,2.83,14.63,790,264
13,85,0.2531,2.9803,2.83,11.78,785,247
13,86,0.2531,2.4206,3.77,9.56,775,239
13,87,0.2531,2.7212,2.83,10.75,772,260
13,88,0.2531,2.0782,3.77,8.21,808,250
