experiment;cell_id;peak_id;cell_intensity_mean;foci_intensity_peak;foci_intensity_mean_disk;foci_radius;signal_to_cell_ratio;foci_x;foci_y;cell_area
Ex 3 day 09;1;1;0,1783;3,9213;2,8477;3,3000;21,9900;401;29;3940
Ex 3 day 09;1;2;0,1783;2,9972;2,1612;3,3000;16,8100;386;14;3940
Ex 3 day 09;1;3;0,1783;2,7346;2,2590;2,8300;15,3400;440;12;3940
Ex 3 day 09;1;4;0,1783;2,0910;1,4423;3,3000;11,7300;403;11;3940
Ex 3 day 09;1;5;0,1783;2,1541;1,6611;3,7700;12,0800;406;46;3940
Ex 3 day 09;1;6;0,1783;1,8293;1,4278;2,8300;10,2600;436;23;3940
Ex 3 day 09;1;7;0,1783;2,2496;1,7719;2,8300;12,6200;433;38;3940
Ex 3 day 09;1;8;0,1783;1,2378;1,3523;4,7100;6,9400;422;29;3940
Ex 3 day 09;2;9;0,1816;3,4118;2,6705;2,8300;18,7900;1097;46;3526
Ex 3 day 09;2;10;0,1816;2,5396;2,3280;2,8300;13,9900;1074;78;3526
Ex 3 day 09;2;11;0,1816;3,1139;2,5373;2,8300;17,1500;1067;53;3526
Ex 3 day 09;2;12;0,1816;2,7699;2,2497;2,8300;15,2600;1102;67;3526
Ex 3 day 09;2;13;0,1816;2,9370;2,1397;2,8300;16,1800;1083;70;3526
Ex 3 day 09;2;14;0,1816;2,3825;1,9332;2,8300;13,1200;1079;55;3526
Ex 3 day 09;2;15;0,1816;2,3488;1,8308;2,8300;12,9400;1064;92;3526
Ex 3 day 09;2;16;0,1816;0,9583;1,5195;4,2400;5,2800;1091;84;3526
Ex 3 day 09;2;17;0,1816;2,2798;1,8515;2,8300;12,5600;1057;65;3526
Ex 3 day 09;2;18;0,1816;1,6732;1,3995;2,8300;9,2200;1092;67;3526
Ex 3 day 09;3;19;0,1543;3,4399;3,0156;2,8300;22,2900;761;107;4367
Ex 3 day 09;3;20;0,1543;3,6302;3,1055;2,8300;23,5300;777;134;4367
Ex 3 day 09;3;21;0,1543;2,8624;2,4745;2,8300;18,5500;771;119;4367
Ex 3 day 09;3;22;0,1543;2,5229;1,6886;4,7100;16,3500;778;152;4367
Ex 3 day 09;3;23;0,1543;2,3285;2,0878;2,8300;15,0900;807;130;4367
Ex 3 day 09;4;24;0,1842;3,1011;2,4359;3,7700;16,8400;360;196;4552
Ex 3 day 09;4;25;0,1842;2,6821;1,6290;4,2400;14,5600;347;215;4552
Ex 3 day 09;4;26;0,1842;2,2863;1,5356;5,1900;12,4100;363;222;4552
Ex 3 day 09;4;27;0,1842;1,7702;1,4584;4,7100;9,6100;342;192;4552
Ex 3 day 09;4;28;0,1842;1,8520;1,7603;4,7100;10,0500;363;175;4552
Ex 3 day 09;4;29;0,1842;1,9164;1,6780;2,8300;10,4000;327;187;4552
Ex 3 day 09;4;30;0,1842;2,1149;1,5104;2,8300;11,4800;328;196;4552
Ex 3 day 09;5;31;0,1863;2,3783;1,9294;2,8300;12,7700;1047;198;3285
Ex 3 day 09;5;32;0,1863;2,4732;2,0471;2,8300;13,2800;1060;210;3285
Ex 3 day 09;5;33;0,1863;1,7908;1,5380;2,8300;9,6100;1047;229;3285
Ex 3 day 09;5;34;0,1863;1,7448;1,3662;3,3000;9,3700;1056;238;3285
Ex 3 day 09;5;35;0,1863;2,0962;1,7195;2,8300;11,2500;1059;201;3285
Ex 3 day 09;5;36;0,1863;1,9721;1,4729;2,8300;10,5900;1058;223;3285
Ex 3 day 09;5;37;0,1863;2,2872;1,8954;2,8300;12,2800;1046;215;3285
Ex 3 day 09;5;38;0,1863;2,3659;1,6449;3,3000;12,7000;1028;221;3285
Ex 3 day 09;6;39;0,0184;3,3202;2,5151;2,8300;180,5300;603;256;8496
Ex 3 day 09;6;40;0,0184;2,4313;2,0150;2,8300;132,2000;633;250;8496
Ex 3 day 09;6;41;0,0184;1,4728;1,1245;2,8300;80,0800;579;257;8496
