 ,Area,Mean,Min,Max
1,1.111E-5,255,255,255
2,2.222E-5,255,255,255
3,1.111E-5,255,255,255
4,2.222E-5,255,255,255
5,2.778E-4,255,255,255
6,3.333E-5,255,255,255
7,2.889E-4,255,255,255
8,1.111E-5,255,255,255
9,1.444E-4,255,255,255
10,1.111E-5,255,255,255
11,2.222E-5,255,255,255
12,2.111E-4,255,255,255
13,1.556E-4,255,255,255
14,2.889E-4,255,255,255
15,1.889E-4,255,255,255
16,1.111E-4,255,255,255
17,1.444E-4,255,255,255
18,3.111E-4,255,255,255
19,2.889E-4,255,255,255
20,6.667E-5,255,255,255
21,1.111E-5,255,255,255
22,1.444E-4,255,255,255
23,5.556E-5,255,255,255
24,2.222E-5,255,255,255
25,1.778E-4,255,255,255
26,1.111E-5,255,255,255
27,1.667E-4,255,255,255
28,0.001,255,255,255
29,3.333E-5,255,255,255
30,2.222E-5,255,255,255
31,7.444E-4,255,255,255
32,0.166,255,255,255
33,4.444E-5,255,255,255
34,1.111E-5,255,255,255
35,8.111E-4,255,255,255
36,1.111E-5,255,255,255
37,2.222E-5,255,255,255
38,3.333E-5,255,255,255
39,0.002,255,255,255
40,2.222E-5,255,255,255
41,2.222E-5,255,255,255
42,3.333E-5,255,255,255
43,3.333E-5,255,255,255
44,5.556E-5,255,255,255
45,4.333E-4,255,255,255
46,1.111E-5,255,255,255
47,1.111E-5,255,255,255
48,4.444E-5,255,255,255
49,1.111E-5,255,255,255
50,1.667E-4,255,255,255
51,5.556E-5,255,255,255
52,1.111E-5,255,255,255
53,2.222E-5,255,255,255
54,8.889E-5,255,255,255
55,2.222E-5,255,255,255
56,7.778E-5,255,255,255
57,1.333E-4,255,255,255
58,0.001,255,255,255
59,8.889E-5,255,255,255
60,1.111E-5,255,255,255
61,1.111E-5,255,255,255
62,2.222E-5,255,255,255
63,1.111E-5,255,255,255
64,2.778E-4,255,255,255
65,1.000E-4,255,255,255
66,1.000E-4,255,255,255
67,1.111E-5,255,255,255
68,1.111E-5,255,255,255
69,2.000E-4,255,255,255
70,1.111E-5,255,255,255
71,1.111E-5,255,255,255
72,6.667E-5,255,255,255
73,4.889E-4,255,255,255
74,2.111E-4,255,255,255
75,3.333E-5,255,255,255
76,4.444E-5,255,255,255
77,5.000E-4,255,255,255
78,1.111E-5,255,255,255
79,4.000E-4,255,255,255
80,1.111E-5,255,255,255
81,1.000E-4,255,255,255
82,3.333E-5,255,255,255
83,5.667E-4,255,255,255
84,2.222E-5,255,255,255
85,2.333E-4,255,255,255
86,1.111E-5,255,255,255
87,5.889E-4,255,255,255
88,1.333E-4,255,255,255
89,2.000E-4,255,255,255
90,0.176,255,255,255
