Total Cells: 28
Total Foci: 126

Head (first 20 rows):
experiment  cell_id  peak_id  cell_intensity_mean  foci_intensity_peak  foci_intensity_mean_disk  foci_radius  signal_to_cell_ratio  foci_x  foci_y
Ex 3 day 0        1        1               0.1664               1.9992                    1.4598         3.30                 12.01    1236       6
Ex 3 day 0        2        2               0.2251               2.8730                    2.3748         2.83                 12.76    1104     119
Ex 3 day 0        2        3               0.2251               2.7832                    2.3295         2.83                 12.36    1117     114
Ex 3 day 0        2        4               0.2251               3.0783                    2.2586         3.30                 13.67    1116     103
Ex 3 day 0        2        5               0.2251               2.9046                    2.2538         2.83                 12.90    1123      90
Ex 3 day 0        3        6               0.1409               3.8899                    2.8343         3.30                 27.60     893     167
Ex 3 day 0        3        7               0.1409               1.9449                    1.5297         3.77                 13.80     908     179
Ex 3 day 0        4        8               0.1461               3.6482                    2.6241         3.30                 24.97    1247     165
Ex 3 day 0        4        9               0.1461               3.6601                    3.2180         2.83                 25.05    1275     155
Ex 3 day 0        4       10               0.1461               3.1027                    2.5453         2.83                 21.24    1268     173
Ex 3 day 0        4       11               0.1461               2.6808                    1.9343         3.30                 18.35    1292     198
Ex 3 day 0        4       12               0.1461               2.6599                    2.3081         2.83                 18.21    1261     199
Ex 3 day 0        4       13               0.1461               2.7780                    1.8890         3.30                 19.02    1274     200
Ex 3 day 0        4       14               0.1461               2.3807                    1.6952         3.77                 16.30    1278     182
Ex 3 day 0        4       15               0.1461               2.1985                    1.5882         3.30                 15.05    1312     163
Ex 3 day 0        5       16               0.2009               3.1557                    2.7231         2.83                 15.71     511     212
Ex 3 day 0        5       17               0.2009               2.6433                    1.9459         3.77                 13.16     533     222
Ex 3 day 0        5       18               0.2009               2.2685                    1.6338         3.30                 11.29     552     213
Ex 3 day 0        5       19               0.2009               2.0952                    1.6474         3.77                 10.43     544     223
Ex 3 day 0        6       20               0.2854               2.5561                    1.9083         3.30                  8.96     263     232
