Total Cells: 70
Total Foci: 595

Head (first 20 rows):
 experiment  cell_id  peak_id  cell_intensity_mean  foci_intensity_peak  foci_intensity_mean_disk  foci_radius  signal_to_cell_ratio  foci_x  foci_y
Ex 3 day 07        1        1               0.1056               2.7132                    2.1732         2.83                 25.68     826       0
Ex 3 day 07        1        2               0.1056               2.7621                    2.0590         3.30                 26.14     839       0
Ex 3 day 07        1        3               0.1056               2.1191                    1.8554         2.83                 20.06     847      14
Ex 3 day 07        1        4               0.1056               2.2810                    1.9168         2.83                 21.59     885      16
Ex 3 day 07        1        5               0.1056               2.5185                    2.1115         2.83                 23.84     871      31
Ex 3 day 07        1        6               0.1056               1.7550                    1.3367         2.83                 16.61     845      27
Ex 3 day 07        1        7               0.1056               2.7755                    2.3221         2.83                 26.27     859      33
Ex 3 day 07        1        8               0.1056               2.2742                    1.8553         2.83                 21.53     883      56
Ex 3 day 07        1        9               0.1056               1.8684                    1.5170         2.83                 17.68     892      23
Ex 3 day 07        1       10               0.1056               1.7423                    1.1098         4.71                 16.49     868      50
Ex 3 day 07        1       11               0.1056               1.6060                    1.0526         2.83                 15.20     872       7
Ex 3 day 07        1       12               0.1056               1.5157                    1.1687         2.83                 14.35     901      57
Ex 3 day 07        1       13               0.1056               2.1403                    1.8108         2.83                 20.26     891      42
Ex 3 day 07        2       14               0.1995               2.9746                    2.2912         3.77                 14.91    1231      33
Ex 3 day 07        2       15               0.1995               2.9178                    1.9785         3.30                 14.63    1214       0
Ex 3 day 07        2       16               0.1995               2.9039                    2.4773         2.83                 14.56    1236       4
Ex 3 day 07        2       17               0.1995               2.5892                    2.2839         2.83                 12.98    1206      28
Ex 3 day 07        2       18               0.1995               2.0052                    1.5837         2.83                 10.05    1220       8
Ex 3 day 07        2       19               0.1995               2.4927                    1.9976         2.83                 12.50    1245       0
Ex 3 day 07        2       20               0.1995               1.6245                    1.2458         3.30                  8.14    1224      16
