Total Cells: 8
Total Foci: 308

Head (first 20 rows):
   experiment  cell_id  peak_id  cell_intensity_mean  foci_intensity_peak  foci_intensity_mean_disk  foci_radius  signal_to_cell_ratio  foci_x  foci_y
Ex 3 day 1819        1        1               0.0585               4.7547                    3.2960         3.30                 81.27    1260      25
Ex 3 day 1819        1        2               0.0585               3.9062                    2.7046         3.30                 66.76    1255      59
Ex 3 day 1819        1        3               0.0585               3.5880                    2.5631         3.30                 61.33    1275      31
Ex 3 day 1819        1        4               0.0585               3.7516                    2.6931         3.30                 64.12    1229      42
Ex 3 day 1819        1        5               0.0585               3.5119                    2.5228         3.30                 60.03    1281      85
Ex 3 day 1819        1        6               0.0585               3.1627                    2.3428         3.77                 54.06    1268      44
Ex 3 day 1819        1        7               0.0585               3.1393                    2.2411         3.30                 53.66    1235      65
Ex 3 day 1819        1        8               0.0585               2.8556                    2.1708         3.77                 48.81    1303      79
Ex 3 day 1819        1        9               0.0585               3.2189                    2.4339         3.77                 55.02    1307      53
Ex 3 day 1819        1       10               0.0585               3.0822                    2.3626         3.77                 52.68    1277      59
Ex 3 day 1819        1       11               0.0585               2.5842                    2.0323         3.77                 44.17    1252      70
Ex 3 day 1819        1       12               0.0585               2.2173                    1.9083         2.83                 37.90    1285      38
Ex 3 day 1819        1       13               0.0585               2.2837                    2.0196         2.83                 39.03    1274      79
Ex 3 day 1819        1       14               0.0585               2.0204                    1.4453         3.30                 34.53    1290      28
Ex 3 day 1819        2       15               0.0105               4.7084                    3.9779         2.83                450.51     332     216
Ex 3 day 1819        2       16               0.0105               4.4783                    3.2304         3.30                428.50     438     137
Ex 3 day 1819        2       17               0.0105               4.3369                    3.1249         3.30                414.96     460     180
Ex 3 day 1819        2       18               0.0105               4.4659                    3.0420         3.30                427.31     407     154
Ex 3 day 1819        2       19               0.0105               4.1648                    3.1091         3.77                398.50     367     203
Ex 3 day 1819        2       20               0.0105               4.2327                    3.1157         3.77                404.99     421     206
