Total Cells: 7
Total Foci: 246

Head (first 20 rows):
  experiment  cell_id  peak_id  cell_intensity_mean  foci_intensity_peak  foci_intensity_mean_disk  foci_radius  signal_to_cell_ratio  foci_x  foci_y
Ex 3 day 182        1        1               0.1143               3.4730                    2.8397         2.83                 30.38     425      28
Ex 3 day 182        1        2               0.1143               3.7597                    3.0890         2.83                 32.89     390      84
Ex 3 day 182        1        3               0.1143               2.0397                    1.7292         2.83                 17.84     414      57
Ex 3 day 182        1        4               0.1143               2.8924                    2.3555         2.83                 25.30     436      16
Ex 3 day 182        1        5               0.1143               2.5978                    2.1300         2.83                 22.72     405      71
Ex 3 day 182        1        6               0.1143               2.5209                    1.9521         3.77                 22.05     441       9
Ex 3 day 182        1        7               0.1143               2.4910                    1.8644         3.77                 21.79     439      47
Ex 3 day 182        1        8               0.1143               1.8788                    1.7169         2.83                 16.43     422      65
Ex 3 day 182        1        9               0.1143               2.0371                    1.5208         4.71                 17.82     453      40
Ex 3 day 182        1       10               0.1143               2.2242                    1.7728         2.83                 19.46     422      43
Ex 3 day 182        1       11               0.1143               1.4882                    1.1456         2.83                 13.02     412      77
Ex 3 day 182        1       12               0.1143               1.9269                    1.4843         2.83                 16.86     391      65
Ex 3 day 182        2       13               0.0776               4.5636                    3.2136         3.30                 58.84     496      80
Ex 3 day 182        2       14               0.0776               3.5934                    2.3583         3.30                 46.33     521      66
Ex 3 day 182        2       15               0.0776               1.8015                    1.6498         3.77                 23.23     482      50
Ex 3 day 182        2       16               0.0776               1.9958                    1.4115         2.83                 25.73     476      60
Ex 3 day 182        2       17               0.0776               2.1098                    1.7378         2.83                 27.20     509      67
Ex 3 day 182        2       18               0.0776               1.9235                    1.6795         2.83                 24.80     485      69
Ex 3 day 182        2       19               0.0776               2.0250                    1.5517         3.77                 26.11     516      53
Ex 3 day 182        2       20               0.0776               1.3337                    1.2227         3.77                 17.20     510      80
