experiment,cell_id,peak_id,cell_intensity_mean,foci_intensity_peak,foci_intensity_mean_disk,foci_radius,signal_to_cell_ratio,foci_x,foci_y,cell_area
Ex 3 day 185,1,1,0.0587,3.4278,2.3878,3.3,58.37,836,239,8457
Ex 3 day 185,1,2,0.0587,3.0157,2.0397,3.3,51.35,823,222,8457
Ex 3 day 185,1,3,0.0587,2.6344,2.0518,3.77,44.86,796,267,8457
Ex 3 day 185,1,4,0.0587,2.1204,1.5848,3.3,36.1,781,260,8457
Ex 3 day 185,1,5,0.0587,2.3752,1.7442,3.3,40.44,806,271,8457
Ex 3 day 185,1,6,0.0587,1.7953,1.162,3.3,30.57,792,281,8457
Ex 3 day 185,1,7,0.0587,1.825,1.4097,3.77,31.07,859,271,8457
Ex 3 day 185,1,8,0.0587,1.2505,0.8897,4.24,21.29,846,256,8457
Ex 3 day 185,2,9,0.0501,3.9629,3.4551,2.83,79.05,824,338,7959
Ex 3 day 185,2,10,0.0501,3.8712,2.7903,3.3,77.22,873,348,7959
Ex 3 day 185,2,11,0.0501,3.6986,2.9759,2.83,73.77,826,350,7959
Ex 3 day 185,2,12,0.0501,3.2623,2.5603,3.77,65.07,807,336,7959
Ex 3 day 185,2,13,0.0501,3.1002,2.3639,3.77,61.84,854,352,7959
Ex 3 day 185,2,14,0.0501,3.4918,2.241,3.3,69.65,868,318,7959
Ex 3 day 185,2,15,0.0501,3.4064,2.3814,3.77,67.95,825,365,7959
Ex 3 day 185,2,16,0.0501,3.0603,2.0912,3.3,61.04,790,348,7959
Ex 3 day 185,2,17,0.0501,2.6035,1.7189,4.24,51.93,810,356,7959
Ex 3 day 185,2,18,0.0501,2.559,2.0725,3.77,51.04,844,307,7959
Ex 3 day 185,2,19,0.0501,1.9959,1.4902,3.3,39.81,834,343,7959
Ex 3 day 185,2,20,0.0501,2.6886,2.3179,2.83,53.63,821,325,7959
Ex 3 day 185,2,21,0.0501,2.2553,1.9071,2.83,44.99,777,321,7959
Ex 3 day 185,2,22,0.0501,2.1869,1.64,3.77,43.62,851,339,7959
Ex 3 day 185,2,23,0.0501,1.9029,1.2517,3.3,37.96,808,315,7959
Ex 3 day 185,2,24,0.0501,2.1684,1.8565,2.83,43.25,803,344,7959
Ex 3 day 185,3,25,-0.029,4.3664,3.1404,3.3,-150.62,719,390,22211
Ex 3 day 185,3,26,-0.029,3.9477,3.0997,3.77,-136.18,735,366,22211
Ex 3 day 185,3,27,-0.029,4.0303,2.9638,3.77,-139.03,771,380,22211
Ex 3 day 185,3,28,-0.029,3.8246,2.4641,4.24,-131.93,715,365,22211
Ex 3 day 185,3,29,-0.029,3.4788,2.3097,4.24,-120.0,681,357,22211
Ex 3 day 185,3,30,-0.029,3.8187,3.4131,2.83,-131.73,745,430,22211
Ex 3 day 185,3,31,-0.029,3.7703,2.8572,3.77,-130.06,704,436,22211
Ex 3 day 185,3,32,-0.029,3.6778,2.7159,3.77,-126.87,662,385,22211
Ex 3 day 185,3,33,-0.029,3.4169,2.4664,3.3,-117.87,777,434,22211
Ex 3 day 185,3,34,-0.029,3.1307,2.0967,3.3,-107.99,712,351,22211
Ex 3 day 185,3,35,-0.029,3.4269,2.451,3.3,-118.21,777,399,22211
