cell_id,peak_id,global_x,global_y,intensity_peak,foci_radius_pixels,cell_area,image_id
1,1,808,214,181,0.0,20229,Li_masked
1,2,854,210,164,0.0,20229,Li_masked
1,3,872,198,158,0.0,20229,Li_masked
1,4,882,212,157,0.0,20229,Li_masked
1,5,854,238,153,0.0,20229,Li_masked
1,6,788,174,152,0.0,20229,Li_masked
1,7,836,150,148,0.0,20229,Li_masked
1,8,832,216,148,0.0,20229,Li_masked
1,9,774,160,139,0.0,20229,Li_masked
1,10,828,240,133,0.0,20229,Li_masked
1,11,752,216,130,0.0,20229,Li_masked
1,12,782,230,128,0.0,20229,Li_masked
1,13,807,182,115,0.0,20229,Li_masked
1,14,876,152,106,0.0,20229,Li_masked
1,15,770,186,103,0.0,20229,Li_masked
1,16,892,175,99,0.0,20229,Li_masked
2,17,164,404,143,0.0,20576,Li_masked
2,18,142,422,141,0.0,20576,Li_masked
2,19,170,424,138,0.0,20576,Li_masked
2,20,192,380,124,0.0,20576,Li_masked
2,21,192,458,116,0.0,20576,Li_masked
2,22,160,460,111,0.0,20576,Li_masked
2,23,210,386,110,0.0,20576,Li_masked
2,24,214,404,109,0.0,20576,Li_masked
2,25,242,416,107,0.0,20576,Li_masked
2,26,192,398,105,0.0,20576,Li_masked
2,27,124,460,105,0.0,20576,Li_masked
2,28,170,358,104,0.0,20576,Li_masked
2,29,122,402,104,0.0,20576,Li_masked
2,30,138,374,102,0.0,20576,Li_masked
2,31,228,460,102,0.0,20576,Li_masked
2,32,172,324,99,0.0,20576,Li_masked
2,33,192,350,94,0.0,20576,Li_masked
2,34,242,398,92,0.0,20576,Li_masked
2,35,224,362,87,0.0,20576,Li_masked
2,36,258,410,83,0.0,20576,Li_masked
2,37,238,378,79,0.0,20576,Li_masked
2,38,256,470,78,0.0,20576,Li_masked
3,39,1024,520,220,0.0,26549,Li_masked
3,40,1062,496,208,0.0,26549,Li_masked
3,41,992,552,187,0.0,26549,Li_masked
3,42,1044,452,179,0.0,26549,Li_masked
3,43,1072,418,177,0.0,26549,Li_masked
3,44,1060,470,130,0.0,26549,Li_masked
3,45,990,472,125,0.0,26549,Li_masked
3,46,1014,484,124,0.0,26549,Li_masked
3,47,1086,506,117,0.0,26549,Li_masked
4,48,830,712,179,0.0,22505,Li_masked
4,49,808,710,157,0.0,22505,Li_masked
4,50,786,712,140,0.0,22505,Li_masked
4,51,742,754,138,0.0,22505,Li_masked
4,52,776,742,137,0.0,22505,Li_masked
4,53,744,696,134,0.0,22505,Li_masked
4,54,762,704,130,0.0,22505,Li_masked
4,55,762,664,129,0.0,22505,Li_masked
4,56,786,770,129,0.0,22505,Li_masked
4,57,770,690,125,0.0,22505,Li_masked
4,58,794,798,121,0.0,22505,Li_masked
4,59,820,688,116,0.0,22505,Li_masked
4,60,818,740,113,0.0,22505,Li_masked
4,61,794,664,102,0.0,22505,Li_masked
4,62,734,788,98,0.0,22505,Li_masked
