cell_id,peak_id,global_x,global_y,intensity,cell_area
1,1,808,214,181,20229.0
1,2,854,210,164,20229.0
1,3,872,198,158,20229.0
1,4,882,212,157,20229.0
1,5,854,238,153,20229.0
1,6,788,174,152,20229.0
1,7,836,150,148,20229.0
1,8,832,216,148,20229.0
1,9,774,160,139,20229.0
1,10,828,240,133,20229.0
1,11,752,216,130,20229.0
1,12,782,230,128,20229.0
1,13,748,210,121,20229.0
1,14,838,164,118,20229.0
1,15,824,228,117,20229.0
1,16,820,200,116,20229.0
1,17,842,238,116,20229.0
1,18,806,182,115,20229.0
1,19,832,202,115,20229.0
1,20,840,246,114,20229.0
1,21,818,170,113,20229.0
1,22,812,198,113,20229.0
1,23,808,204,113,20229.0
1,24,806,174,111,20229.0
1,25,842,222,111,20229.0
1,26,796,208,110,20229.0
1,27,800,226,110,20229.0
1,28,870,220,109,20229.0
1,29,818,244,109,20229.0
1,30,822,178,108,20229.0
1,31,820,184,108,20229.0
1,32,800,202,108,20229.0
1,33,844,208,108,20229.0
1,34,856,222,108,20229.0
1,35,806,158,107,20229.0
1,36,876,152,106,20229.0
1,37,798,166,106,20229.0
1,38,808,244,106,20229.0
1,39,848,196,105,20229.0
1,40,866,228,105,20229.0
1,41,798,238,105,20229.0
1,42,826,172,104,20229.0
1,43,832,180,104,20229.0
1,44,792,190,104,20229.0
1,45,842,202,104,20229.0
1,46,770,186,103,20229.0
1,47,834,188,103,20229.0
1,48,778,186,102,20229.0
1,49,840,188,102,20229.0
1,50,788,204,102,20229.0
1,51,836,174,101,20229.0
1,52,790,197,101,20229.0
1,53,798,160,100,20229.0
1,54,786,216,100,20229.0
1,55,786,150,99,20229.0
1,56,892,175,99,20229.0
1,57,846,180,98,20229.0
1,58,774,220,98,20229.0
1,59,854,184,94,20229.0
1,60,776,198,94,20229.0
1,61,818,150,93,20229.0
1,62,770,196,93,20229.0
1,63,776,210,93,20229.0
1,64,766,220,91,20229.0
1,65,806,140,90,20229.0
1,66,770,230,90,20229.0
1,67,800,146,89,20229.0
1,68,852,170,89,20229.0
1,69,812,150,88,20229.0
1,70,862,166,88,20229.0
1,71,766,204,88,20229.0
1,72,818,142,87,20229.0
1,73,758,204,87,20229.0
1,74,762,228,87,20229.0
1,75,862,177,86,20229.0
1,76,756,184,82,20229.0
1,77,884,226,82,20229.0
1,78,824,136,81,20229.0
1,79,756,172,80,20229.0
1,80,756,160,79,20229.0
1,81,752,178,79,20229.0
1,82,858,154,78,20229.0
1,83,872,170,78,20229.0
1,84,880,172,78,20229.0
1,85,746,196,78,20229.0
1,86,842,140,77,20229.0
1,87,754,230,75,20229.0
1,88,754,238,75,20229.0
1,89,820,274,72,20229.0
1,90,850,138,70,20229.0
1,91,860,146,70,20229.0
1,92,744,230,69,20229.0
1,93,873,256,65,20229.0
1,94,742,242,64,20229.0
1,95,842,268,60,20229.0
1,96,890,154,58,20229.0
1,97,754,260,54,20229.0
1,98,786,272,53,20229.0
1,99,792,272,53,20229.0
2,100,164,404,143,20576.0
2,101,142,422,141,20576.0
2,102,170,424,138,20576.0
2,103,192,380,124,20576.0
2,104,164,434,124,20576.0
2,105,158,426,123,20576.0
2,106,156,444,122,20576.0
2,107,192,458,116,20576.0
2,108,152,436,115,20576.0
2,109,182,374,114,20576.0
2,110,186,452,113,20576.0
2,111,168,444,112,20576.0
2,112,178,454,112,20576.0
2,113,202,462,112,20576.0
2,114,168,454,111,20576.0
2,115,160,460,111,20576.0
2,116,210,386,110,20576.0
2,117,160,454,110,20576.0
2,118,214,404,109,20576.0
2,119,180,446,109,20576.0
2,120,150,458,108,20576.0
2,121,242,416,107,20576.0
2,122,192,440,107,20576.0
2,123,138,442,106,20576.0
