peak_id,global_x,global_y,intensity_mean,intensity_peak,foci_radius_pixels,foci_area_approx,cell_area
1,869,22,0.47,0.55698615,6.13,117.98,4909
2,859,0,0.36,0.41728178,2.83,25.13,4909
3,896,46,0.28,0.31890044,4.71,69.81,4909
4,885,50,0.29,0.31484532,3.3,34.21,4909
5,1374,90,0.26,0.2804836,3.3,34.21,3874
6,234,98,0.41,0.45726207,3.3,34.21,8324
7,220,99,0.33,0.35115418,7.07,157.08,8324
8,282,74,0.43,0.4634026,3.3,34.21,8324
9,261,91,0.44,0.46719563,3.3,34.21,8324
10,233,38,0.27,0.29274538,3.77,44.68,8324
11,207,83,0.29,0.32118326,4.71,69.81,8324
12,269,114,0.33,0.3387852,5.19,84.47,8324
13,247,102,0.37,0.40108314,2.83,25.13,8324
14,276,101,0.38,0.40096337,3.3,34.21,8324
15,289,97,0.37,0.38371596,7.07,157.08,8324
16,250,74,0.42,0.42218605,7.07,157.08,8324
17,308,60,0.28,0.30050606,3.3,34.21,8324
18,301,71,0.34,0.34755376,7.07,157.08,8324
19,298,95,0.34,0.36473495,7.07,157.08,8324
20,262,73,0.42,0.40356466,7.07,157.08,8324
21,0,86,0.31,0.33651316,3.77,44.68,4706
22,13,51,0.34,0.36829638,2.83,25.13,4706
23,27,75,0.35,0.35740185,7.07,157.08,4706
24,59,75,0.33,0.3540744,2.83,25.13,4706
25,1052,124,0.46,0.5138946,3.3,34.21,4482
26,1068,93,0.36,0.46283704,7.07,157.08,4482
27,1068,147,0.3,0.3277822,3.3,34.21,4482
28,1021,87,0.33,0.34297362,7.07,157.08,4482
29,1040,141,0.31,0.31480125,7.07,157.08,4482
30,1075,133,0.27,0.29950944,4.71,69.81,4482
31,1016,107,0.3,0.32069445,2.83,25.13,4482
32,1029,96,0.38,0.3998309,3.3,34.21,4482
33,1061,97,0.39,0.41237873,2.83,25.13,4482
34,1065,112,0.35,0.37478518,6.13,117.98,4482
35,777,136,0.24,0.2713319,3.3,34.21,3667
36,999,165,0.26,0.29661995,3.3,34.21,4657
37,994,191,0.28,0.30630553,3.3,34.21,4657
38,568,193,0.38,0.4049474,2.83,25.13,7612
39,588,206,0.4,0.4296056,3.77,44.68,7612
40,599,181,0.34,0.37291503,7.07,157.08,7612
41,621,220,0.29,0.30424216,7.07,157.08,7612
42,569,213,0.38,0.40266493,3.3,34.21,7612
43,551,232,0.28,0.28966814,7.07,157.08,7612
44,565,244,0.28,0.28376886,7.07,157.08,7612
45,593,162,0.26,0.28233227,2.83,25.13,7612
46,630,185,0.27,0.2863983,5.66,100.53,7612
47,636,194,0.26,0.2733612,2.83,25.13,7612
48,1202,179,0.27,0.30373812,7.07,157.08,4023
49,1190,163,0.25,0.27725148,2.83,25.13,4023
50,1202,196,0.29,0.30922353,3.3,34.21,4023
51,1172,186,0.31,0.32701728,2.83,25.13,4023
52,213,243,0.6,0.64818174,3.3,34.21,8861
53,207,202,0.49,0.5539503,4.24,56.55,8861
54,213,221,0.57,0.608392,3.3,34.21,8861
55,194,266,0.4,0.45480245,6.13,117.98,8861
56,170,188,0.32,0.368087,4.71,69.81,8861
57,185,187,0.38,0.41575956,2.83,25.13,8861
58,223,219,0.51,0.53739125,3.3,34.21,8861
59,217,264,0.45,0.49034947,7.07,157.08,8861
60,187,210,0.45,0.4695183,3.3,34.21,8861
61,184,239,0.42,0.4632395,7.07,157.08,8861
62,196,190,0.36,0.39179054,2.83,25.13,8861
63,228,254,0.5,0.5234942,4.24,56.55,8861
64,213,230,0.55,0.5718226,3.3,34.21,8861
65,227,271,0.39,0.4233729,4.71,69.81,8861
66,219,234,0.52,0.5380837,7.07,157.08,8861
67,259,249,0.33,0.34617695,4.24,56.55,8861
68,238,238,0.43,0.47201863,5.66,100.53,8861
69,255,233,0.33,0.35363498,2.83,25.13,8861
70,254,253,0.34,0.35958502,6.13,117.98,8861
71,201,253,0.44,0.4561138,3.3,34.21,8861
72,202,274,0.35,0.38482404,4.71,69.81,8861
73,230,203,0.34,0.36493853,5.66,100.53,8861
74,212,191,0.32,0.3388425,3.77,44.68,8861
75,1349,265,0.36,0.37853032,7.07,157.08,3433
76,1340,242,0.29,0.32129216,5.66,100.53,3433
77,1375,237,0.22,0.24758115,3.3,34.21,3433
78,1326,263,0.27,0.29977253,3.77,44.68,3433
79,419,274,0.26,0.2896126,4.71,69.81,4550
80,445,288,0.27,0.3046528,4.24,56.55,4550
81,457,267,0.24,0.26295793,3.3,34.21,4550
82,415,314,0.23,0.26069388,4.71,69.81,4550
83,464,303,0.24,0.2553081,3.3,34.21,4550
84,434,273,0.26,0.2868392,3.77,44.68,4550
85,891,285,0.28,0.29841715,3.77,44.68,3439
86,1204,275,0.24,0.26835698,4.24,56.55,4098
87,1186,283,0.29,0.31055865,3.3,34.21,4098
88,1151,295,0.28,0.32193115,7.07,157.08,4098
89,1170,302,0.26,0.28460875,7.07,157.08,4098
90,643,288,0.25,0.26240328,7.07,157.08,4463
91,653,312,0.3,0.32019976,7.07,157.08,4463
92,695,305,0.29,0.3111804,2.83,25.13,4463
93,668,290,0.27,0.28408986,7.07,157.08,4463
94,364,349,0.35,0.37699056,4.24,56.55,3905
95,350,334,0.32,0.3556451,7.07,157.08,3905
96,328,323,0.32,0.35577384,2.83,25.13,3905
97,315,334,0.3,0.33798027,4.71,69.81,3905
98,326,373,0.28,0.2834793,6.13,117.98,3905
99,353,376,0.29,0.31791016,3.3,34.21,3905
100,837,356,0.36,0.4018257,3.77,44.68,3636
101,866,362,0.28,0.32309672,5.66,100.53,3636
102,821,331,0.28,0.3153489,7.07,157.08,3636
103,571,388,0.42,0.47148117,7.07,157.08,4410
104,549,393,0.39,0.4378155,5.19,84.47,4410
105,561,409,0.48,0.48949787,7.07,157.08,4410
106,581,411,0.43,0.47309902,7.07,157.08,4410
107,585,429,0.32,0.32548353,7.07,157.08,4410
