Bild,Referenz,Vorhersage,TP,FP,FN,TN,Sensitivity,Specificity,Precision,Ø FP-Fläche,Ø FN-Fläche,Zellen (GT),Zellen (Auto)
1,Elaine,Isabella,101354,11679,24686,1309961,0.804,0.991,0.897,0,4757.0,31,29
1,Elaine,Lisa,120641,2914,5399,1318726,0.957,0.998,0.976,0,0,31,30
1,Elaine,Marcin,124507,14958,1533,1306682,0.988,0.989,0.893,0,0,31,30
1,Isabella,Elaine,101354,24686,11679,1309961,0.897,0.982,0.804,4757.0,0,29,31
1,Isabella,Lisa,99899,23656,13134,1310991,0.884,0.982,0.809,4773.0,0,29,30
1,Isabella,Marcin,104475,34990,8558,1299657,0.924,0.974,0.749,5200.0,0,29,30
1,Lisa,Elaine,120641,5399,2914,1318726,0.976,0.996,0.957,0,0,30,31
1,Lisa,Isabella,99899,13134,23656,1310991,0.809,0.99,0.884,0,4773.0,30,29
1,Lisa,Marcin,122286,17179,1269,1306946,0.99,0.987,0.877,0,0,30,30
1,Marcin,Elaine,124507,1533,14958,1306682,0.893,0.999,0.988,0,0,30,31
1,Marcin,Isabella,104475,8558,34990,1299657,0.749,0.993,0.924,0,5200.0,30,29
1,Marcin,Lisa,122286,1269,17179,1306946,0.877,0.999,0.99,0,0,30,30
2,Elaine,Isabella,244885,24568,34735,1143492,0.876,0.979,0.909,704.0,0,57,55
2,Elaine,Lisa,269339,16539,10281,1151521,0.963,0.986,0.942,0,4656.0,57,56
2,Elaine,Marcin,271829,40908,7791,1127152,0.972,0.965,0.869,93.5,0,57,60
2,Isabella,Elaine,244885,34735,24568,1143492,0.909,0.971,0.876,0,704.0,55,57
2,Isabella,Lisa,245416,40462,24037,1137765,0.911,0.966,0.858,0,1754.5,55,56
2,Isabella,Marcin,251693,61044,17760,1117183,0.934,0.948,0.805,92.0,0,55,60
2,Lisa,Elaine,269339,10281,16539,1151521,0.942,0.991,0.963,4656.0,0,56,57
2,Lisa,Isabella,245416,24037,40462,1137765,0.858,0.979,0.911,1754.5,0,56,55
2,Lisa,Marcin,273758,38979,12120,1122823,0.958,0.966,0.875,1591.3,0,56,60
2,Marcin,Elaine,271829,7791,40908,1127152,0.869,0.993,0.972,0,93.5,60,57
2,Marcin,Isabella,251693,17760,61044,1117183,0.805,0.984,0.934,0,92.0,60,55
2,Marcin,Lisa,273758,12120,38979,1122823,0.875,0.989,0.958,0,1591.3,60,56
4,Elaine,Isabella,67889,305,40622,1338864,0.626,1.0,0.996,0,9587.0,7,5
4,Elaine,Lisa,86422,70,22089,1339099,0.796,1.0,0.999,0,1988.0,7,7
4,Elaine,Marcin,96842,6620,11669,1332549,0.892,0.995,0.936,0,0,7,7
4,Isabella,Elaine,67889,40622,305,1338864,0.996,0.971,0.626,9587.0,0,5,7
4,Isabella,Lisa,64666,21826,3528,1357660,0.948,0.984,0.748,5412.0,0,5,7
4,Isabella,Marcin,66121,37341,2073,1342145,0.97,0.973,0.639,8575.0,0,5,7
4,Lisa,Elaine,86422,22089,70,1339099,0.999,0.984,0.796,1988.0,0,7,7
4,Lisa,Isabella,64666,3528,21826,1357660,0.748,0.997,0.948,0,5412.0,7,5
4,Lisa,Marcin,83258,20204,3234,1340984,0.963,0.985,0.805,2006.0,0,7,7
4,Marcin,Elaine,96842,11669,6620,1332549,0.936,0.991,0.892,0,0,7,7
4,Marcin,Isabella,66121,2073,37341,1342145,0.639,0.998,0.97,0,8575.0,7,5
4,Marcin,Lisa,83258,3234,20204,1340984,0.805,0.998,0.963,0,2006.0,7,7
5,Elaine,Isabella,4383,24,71326,1371947,0.058,1.0,0.995,24.0,12220.0,6,2
5,Elaine,Lisa,62099,132,13610,1371839,0.82,1.0,0.998,0,0,6,6
