Bild,Methode,TP,FP,FN,TN,Sensitivity,Specificity,Precision,Ø FP-Fläche,Ø FN-Fläche,Zellen (GT),Zellen (Auto)
1_Blue.tif,Otsu,109299,568,30166,1307647,0.784,1.0,0.995,0,0,30,30
1_Blue.tif,Li,131364,12097,8101,1296118,0.942,0.991,0.916,0,0,30,28
1_Blue.tif,Triangle,133888,20216,5577,1287999,0.96,0.985,0.869,0,0,30,27
2_Blue.tif,Otsu,228619,4598,84118,1130345,0.731,0.996,0.98,0,93.5,60,56
2_Blue.tif,Li,281417,16005,31320,1118938,0.9,0.986,0.946,0,93.5,60,50
2_Blue.tif,Triangle,281979,16395,30758,1118548,0.902,0.986,0.945,0,93.5,60,50
3_Blue.tif,Otsu,73159,45,30680,1343796,0.705,1.0,0.999,0,0,4,4
3_Blue.tif,Li,92994,1297,10845,1342544,0.896,0.999,0.986,0,0,4,4
3_Blue.tif,Triangle,103604,32108,235,1311733,0.998,0.976,0.763,0,0,4,4
4_Blue.tif,Otsu,79353,2438,24109,1341780,0.767,0.998,0.97,0,2006.0,7,6
4_Blue.tif,Li,100762,21637,2700,1322581,0.974,0.984,0.823,0,0,7,6
4_Blue.tif,Triangle,103412,51916,50,1292302,1.0,0.961,0.666,0,0,7,6
5_Blue.tif,Otsu,0,2473,75607,1369600,0.0,0.998,0.0,494.6,10801.0,7,5
5_Blue.tif,Li,55721,5618,19886,1366455,0.737,0.996,0.908,1507.3,0,7,10
5_Blue.tif,Triangle,66939,10552,8668,1361521,0.885,0.992,0.864,2113.0,0,7,8
