nucleus_id,peak_id,peak_x,peak_y,nucleus_pixel_count
4,1,892,175,4842.0
4,2,880,172,4842.0
4,3,900,208,4842.0
4,4,900,200,4842.0
4,5,890,154,4842.0
16,6,124,460,1774.0
16,7,136,462,1774.0
18,8,968,504,7432.0
18,9,962,488,7432.0
18,10,958,496,7432.0
18,11,954,514,7432.0
18,12,948,504,7432.0
18,13,956,530,7432.0
18,14,954,476,7432.0
18,15,946,522,7432.0
21,16,1080,538,5298.0
21,17,1072,548,5298.0
21,18,1096,530,5298.0
21,19,1084,548,5298.0
21,20,1098,548,5298.0
21,21,1100,538,5298.0
21,22,1090,552,5298.0
21,23,1108,524,5298.0
21,24,1084,556,5298.0
21,25,1076,558,5298.0
21,26,1114,534,5298.0
27,27,844,722,3233.0
27,28,858,722,3233.0
27,29,850,704,3233.0
