peak_id,peak_x,peak_y,intensity
1,1024,520,220
2,1062,496,208
3,992,552,187
4,808,214,181
5,1044,452,179
6,830,712,179
7,1072,418,177
8,854,210,164
9,872,198,158
10,882,212,157
11,808,710,157
12,854,238,153
13,788,174,152
14,836,150,148
15,832,216,148
16,164,404,143
17,142,422,141
18,786,712,140
19,774,160,139
20,170,424,138
21,742,754,138
22,1044,478,137
23,815,716,137
24,776,742,137
25,800,704,136
26,744,696,134
27,828,240,133
28,1042,490,133
29,1046,504,133
30,752,754,133
31,752,216,130
32,1060,470,130
33,1042,496,130
34,762,704,130
35,1029,494,129
36,1040,508,129
37,762,664,129
38,756,710,129
39,786,770,129
40,782,230,128
41,1052,476,128
42,768,704,128
43,1030,504,127
44,786,726,126
45,1056,454,125
46,1052,466,125
47,990,472,125
48,770,690,125
49,764,692,125
50,766,726,125
51,192,380,124
52,164,434,124
53,998,480,124
54,1014,484,124
55,158,426,123
56,762,698,123
57,156,444,122
58,764,718,122
59,776,726,122
60,776,760,122
61,748,210,121
62,784,702,121
63,784,738,121
64,794,798,121
65,1012,506,120
66,1060,516,120
67,756,686,120
68,814,726,120
69,1036,468,119
70,1078,470,119
71,1070,512,119
72,838,164,118
73,1010,496,118
74,1006,512,118
75,774,684,118
76,788,748,118
77,824,228,117
78,1086,506,117
79,1042,520,117
80,820,200,116
81,842,238,116
82,192,458,116
83,1012,462,116
84,1078,480,116
85,820,688,116
86,772,696,116
87,806,182,115
88,832,202,115
89,152,436,115
90,1020,440,115
91,996,444,115
92,1050,524,115
93,1058,524,115
94,736,710,115
95,840,246,114
96,182,374,114
97,1000,500,114
98,1078,516,114
99,794,720,114
100,818,170,113
101,812,198,113
102,808,204,113
103,186,452,113
104,1068,460,113
105,796,736,113
106,818,740,113
107,168,444,112
108,178,454,112
109,202,462,112
110,1070,522,112
111,1006,528,112
112,1080,538,112
113,806,174,111
114,842,222,111
115,168,454,111
116,160,460,111
117,1064,536,111
118,746,726,111
119,756,732,111
120,790,756,111
121,796,766,111
122,796,208,110
123,800,226,110
124,210,386,110
125,160,454,110
126,788,692,110
127,796,692,110
128,804,736,110
129,870,220,109
130,818,244,109
131,214,404,109
132,180,446,109
133,992,492,109
134,968,504,109
135,1008,520,109
136,768,674,109
137,822,178,108
138,820,184,108
139,800,202,108
140,844,208,108
141,856,222,108
142,1094,438,108
143,150,458,108
144,806,158,107
145,242,416,107
146,192,440,107
147,804,724,107
148,756,740,107
149,876,152,106
150,798,166,106
151,808,244,106
152,138,442,106
153,848,196,105
154,866,228,105
155,798,238,105
156,198,392,105
157,192,398,105
158,1070,438,105
