Bild,Methode,TP,FP,FN,TN,Sensitivity,Specificity,Precision,Ø FP-Fläche,Ø FN-Fläche,Zellen (GT),Zellen (Auto)
1_Blue.tif,Otsu,107064,2803,18976,1318837,0.849,0.998,0.974,0,0,31,30
1_Blue.tif,Li,123890,19571,2150,1302069,0.983,0.985,0.864,0,0,31,28
1_Blue.tif,Triangle,124912,29192,1128,1292448,0.991,0.978,0.811,0,0,31,27
2_Blue.tif,Otsu,227290,5927,52330,1162133,0.813,0.995,0.975,0,0,57,56
2_Blue.tif,Li,271392,26030,8228,1142030,0.971,0.978,0.912,0,0,57,50
2_Blue.tif,Triangle,271682,26692,7938,1141368,0.972,0.977,0.911,0,0,57,50
3_Blue.tif,Otsu,72508,696,16407,1358069,0.815,0.999,0.99,0,0,4,4
3_Blue.tif,Li,86915,7376,2000,1351389,0.978,0.995,0.922,0,0,4,4
3_Blue.tif,Triangle,88915,46797,0,1311968,1.0,0.966,0.655,0,0,4,4
4_Blue.tif,Otsu,80834,957,27677,1338212,0.745,0.999,0.988,0,1988.0,7,6
4_Blue.tif,Li,103136,19263,5375,1319906,0.95,0.986,0.843,0,0,7,6
4_Blue.tif,Triangle,107243,48085,1268,1291084,0.988,0.964,0.69,0,0,7,6
5_Blue.tif,Otsu,0,2473,75709,1369498,0.0,0.998,0.0,494.6,12618.2,6,5
5_Blue.tif,Li,56479,4860,19230,1367111,0.746,0.996,0.921,1507.3,0,6,10
5_Blue.tif,Triangle,68214,9277,7495,1362694,0.901,0.993,0.88,2113.0,0,6,8
6_Blue.tif,Otsu,70224,1520,34884,1341052,0.668,0.999,0.979,1465.0,0,5,7
6_Blue.tif,Li,95010,4567,10098,1338005,0.904,0.997,0.954,2130.0,0,5,6
6_Blue.tif,Triangle,103736,19966,1372,1322606,0.987,0.985,0.839,2347.0,0,5,7
