 ,Area,Mean,Min,Max
1,5.111E-4,255,255,255
2,1.111E-5,255,255,255
3,2.000E-4,255,255,255
4,1.111E-5,255,255,255
5,2.222E-5,255,255,255
6,6.667E-5,255,255,255
7,6.667E-5,255,255,255
8,1.333E-4,255,255,255
9,5.556E-5,255,255,255
10,2.444E-4,255,255,255
11,6.667E-5,255,255,255
12,1.111E-4,255,255,255
13,3.333E-5,255,255,255
14,1.111E-5,255,255,255
15,3.000E-4,255,255,255
16,1.000E-4,255,255,255
17,3.333E-5,255,255,255
18,4.444E-5,255,255,255
19,0.003,255,255,255
20,2.222E-5,255,255,255
21,3.000E-4,255,255,255
22,3.889E-4,255,255,255
23,1.222E-4,255,255,255
24,8.444E-4,255,255,255
25,7.778E-5,255,255,255
26,2.556E-4,255,255,255
27,2.222E-4,255,255,255
28,3.222E-4,255,255,255
29,3.333E-5,255,255,255
30,2.222E-5,255,255,255
31,3.333E-5,255,255,255
32,3.000E-4,255,255,255
33,6.111E-4,255,255,255
34,3.889E-4,255,255,255
35,2.889E-4,255,255,255
36,5.556E-5,255,255,255
37,3.333E-5,255,255,255
38,4.222E-4,255,255,255
39,1.000E-4,255,255,255
40,8.889E-4,255,255,255
41,8.889E-5,255,255,255
42,4.000E-4,255,255,255
43,2.222E-4,255,255,255
44,2.778E-4,255,255,255
45,0.001,255,255,255
46,3.444E-4,255,255,255
47,8.889E-5,255,255,255
48,1.111E-5,255,255,255
49,3.111E-4,255,255,255
50,4.111E-4,255,255,255
51,1.111E-5,255,255,255
52,3.333E-5,255,255,255
53,2.222E-5,255,255,255
54,0.002,255,255,255
55,1.111E-5,255,255,255
56,3.333E-5,255,255,255
57,0.001,255,255,255
58,1.111E-5,255,255,255
59,1.222E-4,255,255,255
60,1.111E-5,255,255,255
61,2.111E-4,255,255,255
62,1.111E-5,255,255,255
63,2.778E-4,255,255,255
64,1.667E-4,255,255,255
65,2.222E-5,255,255,255
66,8.889E-5,255,255,255
67,3.556E-4,255,255,255
68,5.556E-5,255,255,255
69,3.333E-4,255,255,255
70,1.111E-5,255,255,255
71,1.667E-4,255,255,255
72,1.111E-5,255,255,255
73,7.778E-5,255,255,255
74,1.111E-5,255,255,255
75,6.667E-5,255,255,255
76,4.778E-4,255,255,255
77,1.111E-5,255,255,255
78,1.111E-5,255,255,255
79,1.111E-5,255,255,255
80,1.000E-4,255,255,255
81,2.000E-4,255,255,255
82,3.333E-5,255,255,255
83,8.889E-5,255,255,255
84,2.222E-5,255,255,255
85,7.778E-5,255,255,255
86,7.778E-5,255,255,255
87,0.001,255,255,255
88,4.444E-5,255,255,255
89,1.111E-5,255,255,255
90,4.667E-4,255,255,255
91,3.333E-5,255,255,255
92,2.222E-5,255,255,255
93,3.556E-4,255,255,255
94,1.111E-5,255,255,255
95,1.111E-5,255,255,255
96,1.111E-5,255,255,255
97,1.111E-5,255,255,255
98,1.111E-4,255,255,255
99,0.002,255,255,255
100,1.778E-4,255,255,255
101,1.111E-5,255,255,255
102,4.667E-4,255,255,255
103,2.222E-5,255,255,255
104,5.556E-5,255,255,255
105,1.111E-5,255,255,255
106,1.444E-4,255,255,255
107,8.889E-5,255,255,255
108,2.222E-5,255,255,255
109,0.022,255,255,255
110,1.333E-4,255,255,255
111,2.444E-4,255,255,255
112,2.222E-4,255,255,255
113,1.111E-5,255,255,255
114,1.111E-5,255,255,255
115,1.111E-5,255,255,255
116,3.333E-5,255,255,255
117,1.111E-5,255,255,255
118,1.111E-4,255,255,255
119,2.556E-4,255,255,255
120,1.111E-5,255,255,255
121,2.222E-5,255,255,255
122,6.667E-5,255,255,255
123,1.556E-4,255,255,255
124,1.556E-4,255,255,255
125,5.556E-5,255,255,255
126,4.778E-4,255,255,255
127,9.556E-4,255,255,255
128,6.667E-5,255,255,255
129,1.111E-5,255,255,255
130,1.111E-5,255,255,255
131,4.444E-5,255,255,255
132,1.111E-5,255,255,255
133,0.001,255,255,255
